"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","150255","Search SCL feature by mandatory for valorization","edge","Tue Aug 19 11:38:51 IST 2025","passed","Tue Aug 19 11:41:21 IST 2025","","generic_search\searchSCLByValorization.spec.ts","",""
"","367399","Edit SCL feature value","edge","Tue Aug 19 13:29:40 IST 2025","failed","Tue Aug 19 13:35:47 IST 2025","","feature_value_SCL\editSCLFeatureValue.spec.ts","",""
"","140734","Search and Export Mapping Excel Data when Toggle Off","edge","Tue Aug 19 12:03:55 IST 2025","passed","Tue Aug 19 12:06:16 IST 2025","","generic_search_mapping_mode\exportForMappingToggleOff.spec.ts","",""
"","40067","Invalid Login Test","edge","Tue Aug 19 12:14:20 IST 2025","passed","Tue Aug 19 12:15:00 IST 2025","","login\loginWithInvalidCredentials.spec.ts","",""
"","128577","Search WPC features","edge","Tue Aug 19 11:49:01 IST 2025","passed","Tue Aug 19 11:51:09 IST 2025","","generic_search\searchWPCByFamilyDescription.spec.ts","",""
"","123223","hierarchy search by STV structure edit option","edge","Tue Aug 19 12:02:56 IST 2025","passed","Tue Aug 19 12:04:59 IST 2025","","generic_search_hierarchy_mode\stvStructureEditOption.spec.ts","",""
"","176765","Search SCL by Language","edge","Tue Aug 19 11:35:31 IST 2025","passed","Tue Aug 19 11:38:28 IST 2025","","generic_search\searchSCLByLanguage.spec.ts","",""
"","195342","Edit Transversal Model Pack Search","edge","Tue Aug 19 11:55:32 IST 2025","failed","Tue Aug 19 11:58:47 IST 2025","","generic_search\transversal_model_pack_search\editTransversalModelPackSearchRecycle.spec.ts","",""
"","170131","Search SCL by Nature","edge","Tue Aug 19 11:35:31 IST 2025","passed","Tue Aug 19 11:38:21 IST 2025","","generic_search\searchSCLByNature.spec.ts","",""
"","125475","Search SCL","edge","Tue Aug 19 12:13:17 IST 2025","passed","Tue Aug 19 12:15:22 IST 2025","","generic_search_mapping_mode\searchMappingSCLType.spec.ts","",""
"","140206","generic search by SCL Hierarchy for ToggleOff","edge","Tue Aug 19 12:00:50 IST 2025","passed","Tue Aug 19 12:03:10 IST 2025","","generic_search_hierarchy_mode\searchSCLHierarchyToggleOff.spec.ts","",""
"","181828","edit WPS feature value","edge","Tue Aug 19 13:33:55 IST 2025","passed","Tue Aug 19 13:36:57 IST 2025","","feature_value_WPC\editWPCFeatureFamily.spec.ts","",""
"","206295","Search SCL By SI Explicit","edge","Tue Aug 19 12:10:59 IST 2025","passed","Tue Aug 19 12:14:26 IST 2025","","generic_search_mapping_mode\searchMappingSCLBySiExplicit.spec.ts","",""
"","199158","Search SCL By SI Exclusion","edge","Tue Aug 19 12:10:56 IST 2025","passed","Tue Aug 19 12:14:15 IST 2025","","generic_search_mapping_mode\searchMappingSCLBySiExclusion.spec.ts","",""
"","115693","Create STV feature value","edge","Tue Aug 19 11:21:36 IST 2025","passed","Tue Aug 19 11:23:32 IST 2025","","feature_value_STV\createSTVClassCode.spec.ts","",""
"","175426","Search SCL By SI Exclusion","edge","Tue Aug 19 11:38:22 IST 2025","passed","Tue Aug 19 11:41:18 IST 2025","","generic_search\searchSCLBySiExclusion.spec.ts","",""
